2,1,-7.9063
2,4,14.954
2,5,24.097
2,10,14.954
2,12,14.954
2,13,3.5238
2,14,24.097
2,17,3.5238
2,18,3.5238
2,19,24.097
2,22,14.954
2,26,14.954
2,27,14.954
2,28,5.8098
2,31,14.954
2,36,3.5238
2,39,14.954
2,49,24.097
2,51,-8.8211
2,53,14.954
2,55,11.143
2,56,9.2384
2,59,17.493
2,60,-9.2514
2,61,-3.3342
2,70,14.954
2,80,-7.9063
2,83,-11.172
2,84,3.5238
2,89,14.954
2,95,-11.172
2,102,14.954
2,111,14.954
2,113,14.954
2,114,-7.9063
2,117,3.5238
2,120,14.954
2,126,14.954
2,133,3.5238
2,137,8.4221
2,141,14.954
2,142,14.954
2,148,4.4029
2,150,14.954
2,156,-3.3342
2,157,14.954
2,158,14.954
2,159,3.5238
2,160,-3.3342
2,161,-15.527
2,163,14.954
2,165,21.484
2,167,14.954
2,173,14.954
2,174,-1.0481
2,184,27.422
2,185,-3.3342
2,196,14.954
2,197,14.954
2,200,14.954
2,201,14.954
2,204,-0.28608
2,205,3.5238
2,208,14.954
2,211,14.954
2,212,14.954
2,216,14.954
2,219,14.954
2,225,3.5238
2,227,14.954
2,231,2.9222
2,234,3.5238
2,238,-12.479
2,243,-7.9063
2,247,-0.28608
2,250,-3.3342
2,251,14.954
2,252,14.954
2,253,14.954
2,255,14.954
2,258,14.954
2,273,-0.28608
2,279,-3.3342
2,280,14.954
2,285,-0.28608
2,287,14.954
2,288,21.484
2,289,14.954
2,291,3.5238
2,292,-7.9063
2,298,5.8098
2,300,3.5238
2,311,14.954
2,312,14.954
2,313,14.954
2,315,14.954
2,318,22.574
2,319,3.5238
2,320,18.001
2,325,14.954
2,329,-7.9063
2,331,14.954
2,332,-0.28608
2,334,14.954
2,335,4.7939
2,342,14.954
2,343,-15.527
2,348,14.954
2,367,14.954
2,368,-7.1178
2,373,5.8098
2,374,20.033
2,388,5.8098
2,389,9.2384
2,396,14.954
2,402,14.954
2,405,14.954
2,406,24.097
2,413,-15.527
2,423,14.954
2,424,3.5238
2,432,14.954
2,435,3.5238
2,439,14.954
2,441,5.8098
2,442,9.2384
2,444,5.8098
2,445,14.954
2,446,-11.172
2,447,8.4221
2,452,5.8098
2,453,-7.9063
2,454,14.954
2,462,14.954
2,463,21.484
2,465,8.4221
2,466,14.954
2,467,-4.0962
2,468,-3.3342
2,473,-6.3824
2,476,-4.0962
2,477,22.574
2,487,-7.9063
2,489,14.954
2,493,-19.337
2,497,-19.337
2,500,-11.941
2,503,14.954
2,504,-7.9063
2,507,-3.3342
2,510,-0.28608
2,512,14.954
2,514,-7.9063
2,518,5.8098
2,521,14.954
2,523,-4.6406
2,525,-7.9063
2,532,14.954
2,541,22.574
2,549,1.2379
2,558,-0.28608
2,559,14.954
2,572,-13.622
2,574,-0.28608
2,586,24.097
2,600,14.954
2,607,5.8098
2,608,9.2384
2,609,14.954
2,610,3.5238
2,619,3.5238
2,627,14.954
2,629,-2.4633
2,632,-0.28608
2,637,4.4029
2,638,24.097
2,655,19.525
2,660,-0.28608
2,661,4.7939
2,674,5.8098
2,678,14.954
2,680,3.5238
2,684,-2.8261
2,690,3.5238
2,691,14.954
2,693,14.954
2,694,5.8098
2,705,22.574
2,707,5.8098
2,708,14.954
2,716,-0.28608
2,720,24.097
2,726,14.954
2,733,-4.6406
2,735,14.954
2,773,14.954
2,787,-4.6406
2,791,22.574
2,793,-7.9063
2,795,5.8098
2,806,14.954
2,809,3.5238
2,812,3.5238
2,816,14.954
2,819,-3.3342
2,821,14.954
2,823,14.954
2,826,19.525
2,834,14.954
2,847,14.954
2,855,5.8098
2,856,3.5238
2,861,5.8098
2,864,8.4221
2,865,14.954
2,866,-0.28608
2,872,-3.3342
2,873,14.954
2,874,18.471
2,875,14.954
2,876,-9.6649
2,878,14.954
2,881,14.954
2,882,14.954
2,883,14.954
2,885,5.8098
2,886,14.954
2,887,14.954
2,888,2.4847
2,898,2.4847
2,899,-5.8281
2,901,-3.3342
2,902,14.954
2,906,24.097
2,910,3.5238
2,922,-7.9063
2,929,24.097
2,932,3.5238
2,934,1.2379
2,947,-7.9063
2,954,-3.3342
2,965,3.5238
2,966,22.574
2,967,14.954
2,974,14.954
2,976,14.954
2,995,2.4847
2,1003,14.954
2,1018,14.954
2,1029,14.954
2,1030,-4.6406
2,1036,-3.3342
2,1042,14.954
2,1049,7.3338
2,1053,14.954
2,1061,-3.3342
2,1068,5.8098
2,1069,14.954
2,1071,14.954
2,1072,9.8732
2,1079,9.8732
2,1084,3.5238
2,1085,14.954
2,1086,-9.9846
2,1087,3.5238
2,1090,14.954
2,1095,11.143
2,1097,14.954
2,1102,3.5238
2,1107,5.8098
2,1109,-3.3342
2,1114,-3.3342
2,1115,22.574
2,1117,14.954
2,1118,14.954
2,1119,14.954
2,1120,14.954
2,1132,24.097
2,1134,14.954
2,1148,5.8098
2,1151,22.574
2,1152,-0.28608
2,1154,5.8098
2,1156,2.4847
2,1157,-7.9063
2,1184,-15.527
2,1191,4.7939
2,1198,14.954
2,1220,5.8098
2,1222,2.4847
2,1226,14.954
2,1230,-11.172
2,1237,26.382
2,1248,-15.527
2,1268,22.574
2,1285,14.954
2,1300,14.954
2,1312,3.5238
2,1322,14.954
2,1349,-0.28608
2,1352,14.954
2,1356,5.8098
2,1369,22.574
2,1373,1.891
2,1380,14.954
2,1386,14.954
2,1388,5.8098
2,1395,-15.527
2,1415,22.574
2,1417,-3.3342
2,1420,14.954
